nw_ecn (aka ip_ecn),8,decimal,not maskable,OXM_OF_IP_ECN,9,NXM_NX_IP_ECN,28,Decimal
arp_op,16,decimal,not maskable,OXM_OF_ARP_OP,21,NXM_OF_ARP_OP,15,Decimal
arp_spa,32,IPv4,arbitrary bitwise masks,OXM_OF_ARP_SPA,22,NXM_OF_ARP_SPA,16,IPv4
arp_tpa,32,IPv4,arbitrary bitwise masks,OXM_OF_ARP_TPA,23,NXM_OF_ARP_TPA,17,IPv4
arp_sha,48,Ethernet,arbitrary bitwise masks,OXM_OF_ARP_SHA,24,NXM_NX_ARP_SHA,17,Decimal
arp_tha,48,Ethernet,arbitrary bitwise masks,OXM_OF_ARP_THA,25,NXM_NX_ARP_THA,18,Decimal
tcp_src (aka tp_src),16,decimal,arbitrary bitwise masks,OXM_OF_TCP_SRC,13,NXM_OF_TCP_SRC,9,Decimal
tcp_dst (aka tp_dst),16,decimal,arbitrary bitwise masks,OXM_OF_TCP_DST,14,NXM_OF_TCP_DST,10,Decimal
tcp_flags,16,TCP flags,arbitrary bitwise masks,ONFOXM_ET_TCP_FLAGS,42,NXM_NX_TCP_FLAGS,34,TCPFlags
udp_src,16,decimal,arbitrary bitwise masks,OXM_OF_UDP_SRC,15,NXM_OF_UDP_SRC,11,Decimal
udp_dst,16,decimal,arbitrary bitwise masks,OXM_OF_UDP_DST,16,NXM_OF_UDP_DST,12,Decimal
sctp_src,16,decimal,arbitrary bitwise masks,OXM_OF_SCTP_SRC,17,none,,Decimal
sctp_dst,16,decimal,arbitrary bitwise masks,OXM_OF_SCTP_DST,18,none,,Decimal
icmp_type,8,decimal,not maskable,OXM_OF_ICMPV4_TYPE,19,NXM_OF_ICMP_TYPE,13,Decimal
icmp_code,8,decimal,not maskable,OXM_OF_ICMPV4_CODE,20,NXM_OF_ICMP_CODE,14,Decimal
icmpv6_type,8,decimal,not maskable,OXM_OF_ICMPV6_TYPE,29,NXM_NX_ICMPV6_TYPE,21,Decimal
icmpv6_code,8,decimal,not maskable,OXM_OF_ICMPV6_CODE,30,NXM_NX_ICMPV6_CODE,22,Decimal
nd_target,128,IPv6,arbitrary bitwise masks,OXM_OF_IPV6_ND_TARGET,31,NXM_NX_ND_TARGET,23,IPv6
nd_sll,48,Ethernet,arbitrary bitwise masks,OXM_OF_IPV6_ND_SLL,32,NXM_NX_ND_SLL,24,Decimal
nd_tll,48,Ethernet,arbitrary bitwise masks,OXM_OF_IPV6_ND_TLL,33,NXM_NX_ND_TLL,25,Decimal
